Job Title,Requirements
Assistant Manager/Deputy Manager (Corporate & Direct Purchase),"Possess a degree with at least 3 years’ of experience in sourcing and procurement
A good understanding of strategic sourcing, tendering process, contract management, contract negotiation and contract governance
Excellent communication skills, effective influencing skills and skilled in contract negotiations
Able to establish good working relationships with internal and external stakeholders so as to meet PSA’s business needs
Resourceful, driven and able to drive innovation, champion change and work collaboratively and achieve results
Experience with e-procurement software/platforms preferred (for e.g. Ariba, Coupa, Oracle etc)
Candidates with experience in the procurement of Corporate services and products are preferred
Those with CIPS certification will have an added advantage"
AI Analyst (Simulation),"A good degree in Computer Science, Industrial & Systems Engineering, Operations Research, or a related field.
A graduate degree and relevant simulation or optimization project experience is an advantage.
Strong programming skills in languages such as C++, Python, etc.
Proficiency in discrete event simulation software packages, and/or optimization software packages is a plus.
Good problem-solving skills and the ability to work independently and as part of a team.
Ability to explain complex concepts to the layman with good  communication and presentation skills is an advantage."
Procurement Assistant,"Possess Diploma in any discipline.
Have at least 1 year of prior experience in purchasing.
Familiar with Microsoft Office applications for example Word and Excel.
Meticulous and independent.
Able to multi-task and manage time well.
Good negotiation and effective communication skills will be an added advantage."
Assistant Manager/Deputy Manager (Depot Management),"Proactive and able to work independently in a fast-paced environment
Good verbal and written communication skills
Analytical and systematic
Good interpersonal skills with ability to manage and communicate comfortably with external stakeholders
Comfortable with handling data and meticulous with an “eye” for details
Reasonable numeric literacy with an ability to articulate ideas and strategize
Good team player with positive work attitude
Basic understanding legal contract terms and conditions would have an added advantage"
Deputy Manager / Manager (Automobile Terminal),"Compilation of operation reports with analysis and spotting of key trends for supporting key business decisions
Explore new business opportunities with both new and existing customers
Provide leadership and guidance to staff to achieve desired performance outcomes
Competent in automobile terminal berth and yard planning processes to ensures effective utilization of terminal resources with meticulous pre-planning
Handle all operational enquiries on car carrier operations by both internal and external stakeholders
Liaise closely with shipping agents for berth applications and operational support
Handle operational exceptions/incidents supported with detailed investigation reports
Manage asset inventory for the terminal
Provide guidance to staff in handling operational billing matters.
Handle billing enquiries and waiver request for billing charges from external customers.
Liaise closely with contractors/stevedores to ensure service levels are met.
Ensure compliance with HSSS policies and procedures to promote safe work practices.
Conduct regular HSSS meetings with external stakeholders to ensure timely dissemination of key information
Any other responsibilities as authorized by SM/AVP and within the specifications of the job profile
Proactive and able to work independently in a fast-paced environment
Good verbal and written communication skills
Good interpersonal skills with ability to manage and communicate comfortably with external stakeholders
Analytical and systematic
Comfortable with handling data and meticulous with an “eye” for details
Reasonable numeric literacy with an ability to articulate ideas and strategize
Good team player with positive work attitude
Ability to manage and communicate with external stakeholders
Basic understanding legal contract terms and conditions would have an added advantage"
Deputy Manager (Identity and Access Management),"Team Leadership:Assist in guiding and mentoring the IAM team to ensure the effective execution of IAM tasks.
Program Management:Support the development and implementation of the IAM strategy and roadmap, including designing and deploying IAM solutions.
Access Control:Oversee user access rights administration, ensuring alignment with policies and timely provisioning/de-provisioning of accounts.
Policy and Compliance:Contribute to the development and enforcement of IAM policies and ensure compliance with regulations and standards.
Incident Management:Respond to and manage IAM-related incidents, conducting investigations and ensuring timely resolution.
Process Improvement:Identify opportunities for improving IAM processes and implement best practices.
Stakeholder Collaboration:Work closely with departments to understand their IAM needs and provide effective solutions.
Training and Awareness:Develop and deliver IAM training programs and promote best practices across the organization.
Audit and Reporting:Assist with audits and generate reports to monitor IAM program effectiveness.
Technology Management:Help evaluate, select, and integrate IAM tools and technologies.
Bachelor’s degree in Computer Science, Information Security, or a related field.
Relevant certifications such as CISSP, CISM, CISA, or equivalent (preferred).
At least 5 years of relevant experience in IAM, cybersecurity, or a related field.
Strong understanding of IAM principles, frameworks, and best practices.
Proficiency in IAM tools and technologies (e.g., SailPoint, Active Directory, LDAP, SSO, MFA).
Familiarity with regulatory requirements and standards (e.g., NIST).
Excellent leadership, communication, and team-support skills.
Strong analytical, problem-solving abilities, and commitment to continuous learning."
Civil Engineer (Tuas Construction Project Management),"Monitor, track, and provide timely project progress reports to the superiors/management
Assist manager in assessment of completed works and tracking of variation orders
Review, coordinate and comment on contractor’s drawings and other submittals
Liaise with consultants, main contractor and PSA's stakeholders with regards to work acceptance and work progress
Conduct regular QA/QC inspections to ensure works are in compliance with PSA's specifications
Conduct regular safety inspection with contractor's safety team and resolve site related safety issue
Degree in Civil and Structural Engineering
Good knowledge and experienced in civil/building related works
Experience in construction of civil/building projects including M&E related works is preferred"
Lead High-Voltage Engineer,"Degree in Electrical Engineering
Licensed Electrical Worker Grade 9, 22kV with at least 2 years of practicing experience at 22kV voltage level.
Strong knowledge of, and hands-on experience in, high voltage electrical distribution network design, installation and maintenance."
Operations Supervisor (Depot Management),"Attending to mails and phone calls pertaining to gate matters.
Nomination of containers for releasing in internal depot management system.
Monitoring of uncollected or expired booking
Verifying with container operators for any discrepancy in local collection request, using customer system and check for discrepancy in local booking request.
Attending to exceptions such as haulier rejection of container, processing exchange of containers, and liaising with HSD team to facilitate gate out of exchange container.
Tagging of containers for depot service upon request from customer.
Monitoring of customers inventory and processing shipment upon request from customer.
Liaising with customers
‘O’ Level or NITEC. Other disciplines with experience in logistics operations management preferable in 3rd party logistics, distribution or manufacturing environment will also be considered
Proficiency in MS Office
Ability to work independently
Good communication skills
Willing to work on a 5.5 days work schedule"
Management Executive/Deputy Management Executive,"Conceptualise, plan and execute management and staff-focused events for Division based on requirements, objectives and target audience
Ideate new ways to enhance existing events and develop campaigns in line with the company’s direction to engage our staff effectively
Work with internal stakeholders (Procurement, Operations, Resources, Group) to drive events deliverables and execute events efficiently
Liaise and coordinate with venue management, caterers, contractors on equipment and logistics hire to support event requirements
Plan, design and develop internal communication platforms through creative design of publicity collateral work and digital media strategies ie. Newsletter, Social Media Content and Communication Channels
Plan and coordinate relevant training and courses for staff development and skillset upgrade
You should have a minimum Diploma / Degree in any discipline from a recognised University
Proficient in Microsoft Office and Canva
Experience/Knowledge in media production ie. Videography, Video/Photo Editing Software would be a plus."
ITE Scholarship – Operations Track,"Internship opportunities
Structured development program
Current ITE student or up to 12 months from date of graduation or ORD
Good academic results
Adaptability to a dynamic work environment
Sponsorship for ITE education
Lump sum grant to cover tuition and other miscellaneous fees
Successful applicants will be required to serve a bond with PSA"
Polytechnic Scholarship – Operations Track,"Internship opportunities
Structured development program designed for you to step up as future leader
Networking sessions with PSA leaders
Current polytechnic student or those up to 12 months from date of graduation or ORD
Good academic performance
Strong learning agility and leadership abilities
Good analytical, communication and interpersonal skills
Adaptability to a dynamic work environment
Sponsorship for tertiary education in local polytechnics
Lump sum grant to cover tuition and other miscellaneous fees
Successful applicants will be required to serve a bond with PSA."
Polytechnic Scholarship - Engineering Track,"Internship opportunities
Structured development program designed for you to step up as future leader
Networking sessions with PSA leaders
Either existing student of a polytechnic or up to 12 months from date of graduation or ORD; and pursuing/possessing any of the following disciplines:Electrical EngineeringElectronic & Computer EngineeringMechanical EngineeringMechatronics & RoboticsCivil Engineering
Electrical Engineering
Electronic & Computer Engineering
Mechanical Engineering
Mechatronics & Robotics
Civil Engineering
Good academic results
Passion for technology and innovation
High learning agility and strong leadership abilities
Excellent analytical, communication and interpersonal skills
Embrace a dynamic work environment
Electrical Engineering
Electronic & Computer Engineering
Mechanical Engineering
Mechatronics & Robotics
Civil Engineering
Our Scholarship sponsors tertiary education in local polytechnics
The scholarship includes a lump sum grant to cover tuition and other miscellaneous fees
Successful applicants will be required to serve a bond with PSA"
ITE Scholarship - Engineering Track,"Internship opportunities
Structured development program
Either existing ITE student or up to 12 months from date of graduation or ORD; and pursuing/possessing a Nitec or Higher Nitec in any of the following disciplines:Electrical Technology/EngineeringElectronic Technology/EngineeringMechanical Technology/EngineeringMechatronics Technology/EngineeringAutomotive Technology/Engineering
Electrical Technology/Engineering
Electronic Technology/Engineering
Mechanical Technology/Engineering
Mechatronics Technology/Engineering
Automotive Technology/Engineering
Good academic results
Passion for technology and innovation
Embrace a dynamic work environment
Electrical Technology/Engineering
Electronic Technology/Engineering
Mechanical Technology/Engineering
Mechatronics Technology/Engineering
Automotive Technology/Engineering
Our Scholarship sponsors ITE education
The scholarship includes a lump sum grant to cover tuition and other miscellaneous fees
Successful applicants will be required to serve a bond with PSA"
Service Engineer (Digital Systems),"Diploma in Electronics, Electrical or Mechatronics Engineering
Experience in maintenance methodology, network and security system will be an advantage
Comfortable with working outdoors and at height"
Senior/Executive Service Engineer (M&E Services – Mechanical),"Diploma in Mechanical Engineering
Preferably with at least 2-year experience in the design and/or maintenance of M&E equipment"
Assistant/ Deputy Manager (Enterprise Risk & Resilience),"Assist to enforce risk governance processes (3LOD) and compliance monitoring in accordance with Corporate Risk framework/ methodology and Personal Data Protection Act
Harmonise the various Group policies and standards for regional/ local adaptation and compliance as well as review the gaps across various policies and standards in the implementation
Support, coordinate and assist the facilitation on the risk evaluation, mitigation and monitoring of risks in Business Unit
Assist dept to harness data intelligence and build advanced-risk-analytics capabilities to track KRIs and generate emerging insights/trends
Harness insurance claim data intelligence and build advanced-claim-analytics capabilities to track and generate claim insights and trends
Plan, facilitate and carry out Control-Self Assessment verification fieldwork to evaluate & enhance operational effectiveness & resiliency of Business Unit
Monitor claims and loss control issues, communicate and collaborate with business units to highlight claims/loss control issues promptly and reporting to Insurance Board
Design processes and implement relevant tools and best practices to operationalise PDPA compliance requirements and group policy
Track, monitor and maintain the online risk register and centralized BCM portal in line with Business Unit BCM cycle
Support or partner Business Unit to stress test their business continuity capabilities/ responses to provide the needed assurance and resilience
Consolidate BU and region-wide yearly exercise workplan and review the synergy for exercise planning
Review insurance policies for acceptable wordings, coverage, terms and exclusions, provide advice and support to Business Units in their contracts on terms of indemnities, liabilities and insurance coverage
Communicate and build relationships with brokers, loss adjustors, captive manager and other external parties.
Undertake projects and initiatives as assigned and perform other duties determined by the organisation
University degree holder
At least 2 - 5 years of relevant working experience in similar role or port operations
Added advantage if have some exposure to operational risk management or emergency preparedness planning, BCM, crisis management practiced in maritime sector
Possesses good verbal, presentation and written communication skills
Good analytical skills and ability to formulate a strong and coherent narrative in writing.
Organised, delivery focused, detail-oriented and can handle multiple tasks concurrently.
A strong relationship builder who can engage effectively across diverse groups and manage multiple stakeholders comfortably
Proven organisational skills to be able to coordinate cross-functional, regional and virtual teams
Methodical; strong in project management"
Senior Service Engineer (Power Infrastructure),"Diploma in Electrical Engineering (Power)
Licensed Electrical Worker (LEW) Grade 8
At least 2 years of experience in high-voltage electrical installation maintenance, testing and installation projects"
Senior Service Engineer (M&E Infrastructure),"Diploma in Electrical Engineering
Licensed Electrical Worker (LEW) Grade 8
At least 2 years of experience in the design and/or maintenance of electrical building services"
Assistant Management Executive / Deputy Management Executive (Payroll),"Updating roster system and tally with attendance
Monitoring and following up with unconfirmed leave and highlight any roster irregularities
Checking payment reports to ensure that allowances, overtime and incentive are correctly computed in the system
Preparing manual inputs for adjustment of payment discrepancies
Identifying potential areas of improvement in payroll processes
Updating changes to incentive category and roster scheme
Preparing payroll upload files for finance
Handling staff queries on payroll related matters
Possess NITEC / Diploma qualifications in any discipline
Meticulous and detailed, with an affinity for figures
Strong communications and inter-personal skills
Good organisational and time management skills
Proficient with the use of excel (especially Pivot tables)
Team player who is able to work under tight timelines"
Electrical Engineer (Power Infrastructure),"Degree in Electrical Engineering
At least 2 years’ experience in electrical infrastructure maintenance or design consultancy projects
Holders of Professional Engineering certification, Licensed Electrical Worker (LEW) license or high voltage switching authorization will have an advantage"
Electrical Engineer (M&E Services),"Degree in Electrical Engineering
At least 2 years’ experience in maintenance and/or design of electrical building services
Holders of Licensed Electrical Worker (LEW) license or personnel who had completed the “high voltage operation for engineers” course will have an advantage"
Executive Planner (Civil Engineering),"planning, designing, implementing and managing projects in port infrastructure and buildings,
liaising with relevant authorities, agencies and internal stakeholders from project conceptualisation to completion,
designing green buildings with consideration for climate and ecology,
driving the in-house implementation of BIM/Integrated Digital Delivery (IDD) digital solutions,
leading and developing a team of BIM drafters.
Degree in Civil/Environmental Engineering, or Architecture
Well-versed in Autodesk Revit, SketchUp and other BIM tools; with hands-on experience in BIM projects
Knowledge of planning, Singapore Green Mark and Corenet eSubmission System will be added advantage
Possess strong analytical, interpersonal and communication skills."
Port+ Assistant (Warehouse Operations Assistant) -,"To pick parts from the flow racks according to order list
To move the parts to the designated area for re-packing and re-labelling
To perform careful packing of the required parts
To deliver the required parts to Customer"
Manager / Deputy Manager (Cybersecurity Incident Management),"Lead and coordinate the response to cybersecurity incidents from identification through resolution.
Ensure timely detection, containment, eradication, and recovery from security incidents
Perform thorough analysis and investigation of security incidents to determine root cause, impact, and scope.
Utilize various forensic tools and methodologies to collect and analyze evidence.
Serve as the primary point of contact for cybersecurity incidents, coordinating with internal teams, external partners, and stakeholders.
Communicate incident status, impact, and remediation efforts to executive leadership and relevant parties.
Maintain detailed documentation of incidents, including timelines, actions taken, and lessons learned.
Produce comprehensive incident reports and metrics for internal and external reporting.
Develop, refine, and implement incident response processes and playbooks.
Conduct post-incident reviews and lessons learned sessions to identify areas for improvement.
Conduct drills and TTX to train incident response team members to response to cyber incident.
Leverage threat intelligence to proactively identify potential threats and vulnerabilities.
Integrate threat intelligence into incident response processes.
Ensure incident response activities comply with relevant regulations, standards, and industry best practices.
Degree in Computer Engineering, Computer Science, Cybersecurity, Information Security, Electrical & Electronics Engineering; or equivalent
At least 5 years of cybersecurity incident response experience in IT environments and 2 years in OT/ICS environments
Strong knowledge of cybersecurity principles, threats, and attack vectors
Proficiency in forensic analysis, malware analysis, and incident response tools
Experience with SIEM, IDS/IPS, and other security technologies
Those with GCIH, GICSP, GRID, CISSP, CISM certification would have an advantage
Strong leadership, communication, interpersonal, analytical and problem-solving skills in a fast-moving environment"
Assistant Port+ Executive (Warehouse/ Freight) [With Joining Bonus],"Daily support of customers' projects and requirements
Liaise with contractors, freight forwarders/3PL on all cargo handling, including booking and release
Liaise with permit declarants, sea/air ports to settle all customs formalities and documentations
Ensure smooth and efficient transition of cargo and all shipping documents are prepared and documented
Supervise and update inventory database and provide support to warehouse operations
Liaise with overseas agent on various requirements and rates
Track and record all freight costs incurred including support for billing/invoicing and payment to suppliers
Diploma in Logistics/ Supply Chain Management. Other disciplines with experience in logistics operations management preferable in 3rd party logistics, distribution or manufacturing environment will also be considered.
Proficiency in MS Excel
Ability to work independently
Good communication skills
Willing to work on a 5.5 days work schedule"
Company Driver,"Possess Class 3 license.
Preferable to have prior experience driving mini bus.
Those with Class 4 license will have an added advantage, but there will be sponsorship for those without Class 4 driving license subject to work performance.• Pleasant and polite, and be able to speak English• Familiar with Singapore roads• Responsible and able to maintain strict confidentiality• Able to start work immediately or within short notice"
Global Management Associate,"Business Track (including Cargo Solutions)
Professional Track (Infocomm Technology & Data, Cybersecurity, Engineering, Civil Engineering, Finance or Human Resource)
Opportunities to Stretch & Challenge Yourself
Structured Leadership Training
Mentoring by PSA Leaders
Global Exposure & Strategic Rotations
Driven individual with strong leadership, analytical abilities and problem-solving skills
Excellent communication & interpersonal skills
Strong academic achievements in any discipline
Global mindset and strong adaptability
Able to work overseas
Strong learning agility and resilience
Fresh graduates and individuals with no more than 3 years’ work experience"
Port+ Billing & Documentation Supervisor,"Track, record and validate costs incurred and payment to suppliers
Track, record and arrange for billing and invoicing to customers
Day-to-Day administrative/documentation support of customers’ projects and requirements, including shipment booking, tracking, trade documentation preparation and release
Liaise with permit declarants, sea/air ports for completion of customs formalities according to timeline
Ensure all shipping documents are prepared accurately and timely documented
Nitec, ‘O’ Level or Diploma in Logistics / Supply Chain Management is preferable; candidates possessing suitable qualities from any discipline may also be considered
Proficiency in MS Excel preferred
Ability to work independently
Good communication skills and timeline management
Willing to work on a 5.5 days work schedule"
Principal/Senior Engineer (Battery Energy Storage System),"project management, system testing, technical analysis, optimization of processes and working collaboratively with key stakeholders including technology partners
providing engineering design support; addressing technical and safety requirements for battery energy storage systems in accordance with industry standards, project and local regulatory requirements
preparing and reviewing technical documentation
performing analysis and diagnostics; proposing and implementing corrective actions for performance and reliability exceptions of battery energy storage systems
managing the day-to-day operations and maintenance of smart grid and battery energy storage systems to ensure optimal availability for market participation and grid ancillary services.
Degree in Engineering, preferably in Electrical/Electronic Engineering
Experienced working with, and deep understanding of Remote Terminal Unit, Power Conversion System, DC-to-DC Converter, PLC Control System, ancillary liquid cooling system, different battery types and Battery Management System
Keen to explore new technology and adaptable to related challenges
Passionate about energy management and sustainability
Good analytical and problem-solving skills
Able to conceptualize new ideas and communicate effectively, with strong written capabilities"
Senior Engineer / Engineer (System),"managing vendors for day-to-day system support
designing and developing system/mobile solutions to enhance business processes and digitalization objectives
engaging key stakeholders on process design and optimization, integration with PSA systems and industry partners
performing data support to engineers to ensure data quality and integrity for analysis and visualization
project management, vendor management and work collaboratively with key stakeholders to ensure quality delivery with corporate governance.
Degree in System Engineering, Software Engineering or other ICT related fields
Passionate about system development, process re-engineering and exploration of new technologies
Keen in developing project and vendor management skills
Enjoy internal and external stakeholder engagement and management
Good analytical and problem-solving skills"
Container Handling Specialist (Prime Mover Driver),"There will be sponsorship of Class 3/Class 4 driving license subject to work performance.
There will be a joining incentive of $2,000 for Singaporeans and Singaporean PRs subject to terms and conditions."
Technical Specialist (Digital Systems)- Card Repair Section [With Joining Bonus],"At least NITEC/Higher NITEC in Electronics/Mechatronics/Electrical/Mechanical Engineering
Good Electrical/Electronic hands-on knowledge and soldering work preferred
Able to troubleshoot, repair and test PCB independently down to component level using multimeter, oscilloscope etc
Re-flash and recover product’s software
Repair activity will be in office environment and occasionally on site
Minimum 3 years of relevant experience preferred"
